Observation_ID,Date,Year,Day_of_year,Time,Bird_ID,Observer,Sex,Plumage_score,Plumage_group,Age,Age_exact,Alarm_calling,Allopreening,Calling,Chasing,Chipping,Courtship,Flying,Foraging,Other,Preening,Scolding,Singing,Sitting,U,Vocalizing,Observation_time,Alarm_calling_prop,Allopreening_prop,Chasing_prop,Courtship_prop,Flying_prop,Foraging_prop,Other_prop,Preening_prop,Sitting_prop,Vocalizing_prop
FFD001,2016-06-24,2016,176,925,X05,FFD,M,100,BRIGHT,4,exact,0,0,NA,0,NA,0,6,101,0,0,NA,NA,21,172,0,300,0,0,0,0,0.046875,0.7890625,0,0,0.1640625,0
FFD002,2016-06-24,2016,176,1000,U07,FFD,M,100,BRIGHT,4,min,0,75,NA,0,NA,0,8,45,0,43,NA,NA,29,100,0,300,0,0.375,0,0,0.04,0.225,0,0.215,0.145,0
FFD006,2016-06-23,2016,175,911,Q08,FFD,M,0,DULL,2,exact,0,0,NA,0,NA,0,4,247,0,0,NA,NA,0,47,2,300,0,0,0,0,0.015810276679841896,0.9762845849802372,0,0,0,0.007905138339920948
FFD007,2016-06-23,2016,175,800,J02,FFD,M,0,DULL,3,min,0,0,NA,0,NA,0,5,161,0,0,NA,NA,44,87,3,300,0,0,0,0,0.023474178403755867,0.755868544600939,0,0,0.20657276995305165,0.014084507042253521
FFD010,2016-06-24,2016,176,1150,X07,FFD,M,0,DULL,2,exact,0,0,NA,0,NA,0,21,49,0,17,NA,NA,73,137,3,300,0,0,0,0,0.12883435582822086,0.3006134969325153,0,0.10429447852760736,0.44785276073619634,0.018404907975460124
FFD011,2016-06-24,2016,176,1237,T01,FFD,M,100,BRIGHT,3,exact,0,8,NA,0,NA,0,1,49,0,107,NA,NA,15,120,0,300,0,0.044444444444444446,0,0,0.005555555555555556,0.2722222222222222,0,0.5944444444444444,0.08333333333333333,0
FFD014,2016-06-26,2016,178,1245,M04,FFD,M,0,DULL,2,min,0,0,NA,0,NA,0,2,224,0,4,NA,NA,6,59,5,300,0,0,0,0,0.008298755186721992,0.9294605809128631,0,0.016597510373443983,0.024896265560165973,0.02074688796680498
FFD019,2016-06-28,2016,180,1150,U03,FFD,M,0,DULL,2,min,0,0,NA,0,NA,0,2,163,0,0,NA,NA,0,134,1,300,0,0,0,0,0.012048192771084338,0.9819277108433735,0,0,0,0.006024096385542169
ITR001,2016-06-23,2016,175,1023,D01,ITR,M,0,DULL,2,exact,0,0,NA,0,NA,0,6,0,0,0,NA,NA,173,119,2,300,0,0,0,0,0.03314917127071823,0,0,0,0.9558011049723757,0.011049723756906077
SMT001,2016-06-21,2016,173,647,C04,SMT,M,0,DULL,2,exact,0,0,NA,0,NA,0,13,0,0,0,NA,NA,161,117,9,300,0,0,0,0,0.07103825136612021,0,0,0,0.8797814207650273,0.04918032786885246
