Observation_ID,Date,Year,Time,Behavior,Sender_ID,Sender_plumage_category,Sender_sex,Sender_age,Sender_age_exact,Receiver_ID,Receiver_sex,Receiver_age,Receiver_age_exact,Social_mate,Prev_breeding_group
OPP001,2015-06-02,2015,8H 9M 0S,Allopreening,JB4,Ornamented,M,3,exact,GG2,M,5,min,0,0
OPP002,2015-06-03,2015,10H 45M 0S,Courtship,JD6,Ornamented,M,3,min,EG1,F,3,exact,0,0
OPP003,2015-06-09,2015,7H 15M 0S,Allopreening,CI5,Unornamented,F,5,exact,ED4,M,4,exact,1,NA
OPP004,2015-06-19,2015,12H 22M 0S,Courtship,IC7,Ornamented,M,3,exact,CH6,F,2,exact,0,0
OPP005,2015-06-20,2015,9H 10M 0S,Chasing,GD9,Unornamented,F,3,exact,HI9,F,1,min,0,NA
OPP006,2015-06-21,2015,8H 38M 0S,Allopreening,FB6,Unornamented,M,1,exact,AJ6,F,3,min,0,0
OPP007,2015-06-21,2015,9H 45M 0S,Allopreening,HD2,Unornamented,F,1,exact,HB1,M,1,exact,0,0
OPP008,2015-06-21,2015,11H 0M 0S,Allopreening,BD3,Ornamented,M,2,exact,FI7,F,1,exact,NA,0
OPP009,2015-06-21,2015,11H 15M 0S,Chasing,BD3,Ornamented,M,2,exact,GJ7,M,1,exact,0,0
OPP010,2015-06-24,2015,10H 46M 0S,Chasing,GF1,Ornamented,M,2,exact,HA7,M,3,exact,0,0
OPP011,2015-06-24,2015,10H 58M 0S,Courtship,GJ8,Ornamented,M,3,exact,DI2,F,2,exact,1,1
OPP012,2015-06-25,2015,8H 30M 0S,Allopreening,EF3,Ornamented,M,4,exact,JJ5,F,5,min,0,1
OPP013,2015-06-25,2015,8H 34M 0S,Allopreening,HB1,Unornamented,M,1,exact,JJ5,F,5,min,0,1
OPP014,2015-06-26,2015,7H 27M 0S,Allopreening,JC3,Ornamented,M,2,exact,DA1,F,2,exact,1,0
OPP015,2015-06-30,2015,12H 12M 0S,Chasing,CF2,Ornamented,M,4,min,AD5,M,4,min,0,0
OPP016,2015-06-30,2015,12H 28M 0S,Allopreening,EF5,Unornamented,F,5,min,CF2,M,4,min,0,NA
OPP017,2015-07-01,2015,7H 45M 0S,Allopreening,JC5,Unornamented,F,5,min,AI0,M,2,exact,1,NA
OPP018,2015-07-01,2015,8H 6M 0S,Allopreening,JG2,Ornamented,M,4,exact,CH6,F,2,exact,1,NA
OPP019,2015-07-01,2015,8H 6M 0S,Chasing,JG2,Ornamented,M,4,exact,JJ2,M,1,exact,0,NA
OPP020,2015-07-01,2015,8H 58M 0S,Allopreening,FB6,Unornamented,M,1,exact,AJ6,F,3,min,0,0
OPP021,2015-07-01,2015,10H 44M 0S,Allopreening,BB5,Unornamented,M,3,exact,EC2,F,1,exact,1,NA
OPP022,2015-07-03,2015,7H 17M 0S,Allopreening,IC7,Ornamented,M,3,exact,DE5,F,4,min,1,1
OPP023,2015-07-03,2015,8H 6M 0S,Allopreening,EG6,Unornamented,M,2,exact,IB3,F,3,exact,1,0
OPP024,2015-07-03,2015,12H 52M 0S,Allopreening,FE9,Ornamented,M,5,min,IE0,F,2,exact,NA,1
OPP025,2015-07-04,2015,9H 59M 0S,Chasing,II5,Ornamented,M,3,exact,CE3,F,1,exact,0,0
OPP026,2015-07-04,2015,9H 59M 0S,Chasing,BD5,Ornamented,M,6,min,CE3,F,1,exact,0,0
OPP027,2015-07-04,2015,10H 6M 0S,Allopreening,JG7,Unornamented,M,2,exact,FD0,F,1,exact,0,0
OPP028,2015-07-04,2015,10H 37M 0S,Allopreening,JC4,Unornamented,M,1,exact,FD0,F,1,exact,NA,NA
OPP029,2015-07-04,2015,10H 41M 0S,Allopreening,AI0,Unornamented,M,2,exact,FA3,M,1,exact,0,NA
OPP030,2015-07-04,2015,10H 55M 0S,Chasing,FE9,Ornamented,M,5,min,AD6,M,4,min,NA,0
OPP031,2015-07-05,2015,8H 42M 0S,Allopreening,FA1,Ornamented,M,2,exact,JD9,F,2,exact,1,1
OPP032,2015-07-06,2015,11H 0M 0S,Courtship,DI0,Ornamented,M,4,exact,FD9,F,3,min,0,0
OPP033,2015-07-08,2015,9H 18M 0S,Allopreening,II1,Unornamented,F,3,min,AA1,M,3,min,1,NA
OPP034,2015-07-09,2015,8H 1M 0S,Chasing,ED4,Ornamented,M,4,exact,DG4,M,2,min,0,NA
OPP035,2015-07-09,2015,9H 4M 0S,Allopreening,JG2,Ornamented,M,4,exact,CH6,F,2,exact,1,NA
OPP036,2015-07-10,2015,9H 2M 0S,Allopreening,IB1,Unornamented,F,2,exact,IE6,M,2,exact,1,NA
OPP037,2015-07-11,2015,10H 51M 0S,Allopreening,FE9,Ornamented,M,5,min,IE0,F,2,exact,NA,1
OPP038,2015-07-15,2015,9H 58M 0S,Allopreening,ED4,Ornamented,M,4,exact,CI5,F,5,exact,1,NA
OPP039,2015-07-15,2015,11H 36M 0S,Courtship,HB5,Ornamented,M,5,min,CD7,F,1,exact,NA,0
OPP040,2015-07-15,2015,11H 36M 0S,Courtship,HB5,Ornamented,M,5,min,BE3,F,1,exact,NA,0
OPP041,2015-07-16,2015,9H 36M 0S,Allopreening,HI5,Unornamented,F,4,min,EE4,M,2,exact,0,0
OPP042,2015-07-16,2015,9H 57M 0S,Allopreening,DH5,Ornamented,M,4,min,EI4,F,4,min,NA,1
OPP043,2015-07-16,2015,9H 57M 0S,Courtship,DH5,Ornamented,M,4,min,EI4,F,4,min,NA,1
OPP044,2015-07-16,2015,10H 42M 0S,Courtship,GG2,Ornamented,M,5,min,AD7,F,3,min,0,0
OPP045,2015-07-16,2015,10H 47M 0S,Chasing,AA3,Ornamented,M,3,exact,HB0,F,3,min,1,1
OPP046,2015-07-16,2015,11H 26M 0S,Courtship,BD3,Ornamented,M,2,exact,FI7,F,1,exact,NA,0
OPP047,2015-07-16,2015,12H 27M 0S,Courtship,IA3,Ornamented,M,4,exact,GE6,M,1,exact,0,0
OPP048,2015-07-16,2015,12H 27M 0S,Courtship,IA3,Ornamented,M,4,exact,ID8,F,1,exact,0,0
OPP049,2015-07-18,2015,9H 8M 0S,Allopreening,AA7,Unornamented,F,3,min,CC3,M,2,min,1,0
OPP050,2015-07-18,2015,9H 30M 0S,Courtship,BJ9,Ornamented,M,3,min,DG0,M,1,exact,0,0
OPP051,2015-07-18,2015,9H 30M 0S,Courtship,BJ9,Ornamented,M,3,min,JA7,F,1,exact,0,0
OPP052,2015-07-18,2015,10H 57M 0S,Chasing,BD3,Ornamented,M,2,exact,IH2,M,2,exact,0,0
